text,Sentiment
"Hello Andrey, Maybe I do n't well explain the problem sorry, in your video you have the left report with 3 page and right report with only 1 page This is fine and I have the same result, has I try to explain is on the right report I would like to have repeating the (Total Actifs 44 988.61 on all the page) dans that my problem Hope you understand now better my issue Regards Lino",2
"Hi Ivan, I do n't understand why you say `` This is unnecessary for the classes we generate.''",2
Are you saying that I have to manually add the properties (like FirstName and LastName in my example above) manually for every ViewModel that the Scaffolding Wizard has generated?,2
What is the advantage of having to do that?,2
Confused.,2
We are using top N already attached image shows a chart before re-adding the top n then showing i added it and then the results after which are the same.,2
Then i show you what we were expecting to see in that grid after i select the ten cards in the cardview that are the top 10 physicians.,2
"Hi Team, We are using GricView.ExportToCvs method to export data from the grid to excel, and it works great.",2
"However, our users request to adjust the excel a bit to rename a few columns as well as add an summary row at the top.",2
Could you please tell me how to achieve this?,2
"Gents, Can you provide an example of using an MVC controller as a datasource?",2
All of your examples use a WebApi controller.,2
Thanks so much for the prompt clarification.,3
I just updated the subscription to include DevExtreme.,2
Look forward to hearing thoughts on my original post.,2
Neither of the examples show what I'm looking for.,2
"When you right click in the footer you get an menu with ` Sum, Min etc..",2
How would I add ABS SUM to that?,2
"I ca n't use 18.1 right now because it's not stable yet, so if 17.2.7 fixes my issue, I would be more than happy.",2
"Hi, Are you able to see this (link)?",2
this is what I can not achieve with (link).,2
"Hi Nikolai, Was n't this resolved in (link)?",2
"Example works as advised, thanks.",2
"I would like to submit a request to add the periodset property to the default dateedit, or add this dateperiodedit to devexpress, since it seems logical to have multiselect and the ability to access the selected dates without this additional code.",2
"Hi, I currently use Microsoft Visual Studio 2015 Community Version as my development environment and it works well with your products.",2
I am upgrading to a new system and want to install Visual Studio 2017.,2
I am wondering if your products will work with the Express versions as well as the Community?,2
"I'm trying to assign and unassign licenses in my account, but my changes are not being saved.",2
"Under my ASP.NET Subscription, I'd like to revoke the license for Mary Bain.",2
Then I'd like to assign licenses to jeff.bailey@viewpoint.com and jim.barntish@viewpoint.com Can you please help me?,2
"Hello Igor, How can I add the ability to use the number pad from the keyboard?",2
"If I want to modify the number display format of aspdashboardviewer, for example, the numerical precision defaults to two digits, modify dx.module-dashboard.",2
"Then using aspdashboard If I set WorkingMode = `` ViewerOnly'' and MobileLayoutExtension is enabled, which file should be modified to set the number display format.",2
Is it possible to use a dropdown combobox to filter a specific devextreme's datatable field?,2
I have the same problem after the update it is not working.,2
I have updated to version 17.2.7.,2
I am working with a gridview and need to hide certain fields as seen in the attached.jpg.,2
"As of now, there are a number of employment types such as full-time, part-time, etc that should be shown, and fields such as retired and `` left atc'' that need to be hidden.",2
If there is a seamless way to do this I would love to see an example.,2
"Hello, How to select one period?",2
"For example, I want to select 2018 year.",2
"I click' 2018', but it's opened month of this year.",2
"Aleks, I did figure it out but one problem you should note with your documentation is there are no''.'' between ColumnView and OptionsSelection or Grid and OptionSelection.",2
This makes deciphering your documentation that much harder.,1
I have a frustrating aesthetic issue in that a Gridview in batch editing Mode seems to jiggle about when clicking around the editable fields.,2
I assume its to do with deep hidden CSS rules but I am clueless as to what to do.,2
I have attached a video as a demonstration.,2
Please help:0 This is just a regular grid.,2
"No extra CSS, even when I remove all styling tags and themes it is still the same.",2
Why the Pivot Grid Analysis Icon never appear after adding all necessary modules?,2
This never happen when I was in Version 16.x. x,2
"Hi, I have a pdf file that contains the help for my application, the idea is to use the Reporting functionality similar to: (link) and upload the file so the users can manage it to their convenience.",2
If you can help me with some example code I will be thankful.,2
Can you make changes in demo to use treelistview control and the feature that I explained in previous comments.,2
I worked around it for the time being but I will bear this in mind.,2
Thanks for your time.,2
Does treelistview control provide any feature so that I can move selected treelistview item up and down?,2
May I know how to achieve this.,2
Can you make the changes in demo shared in previous comments.,2
I am using the AspxDashboard component and not the dashboard viewer.,2
Do you have an example of the same using AspxDashboard component.,2
Also how do I set the default Parameter value in code.,2
"Hello, We use DevExpress js charts and we want to set bars to be wider (we already have the same chart from other library with wider bars for the same values).",2
"But barWidth value does n't influence anything, Ii always show very small bars.",2
How should we force chart to have wider equal bars?,2
"Hi, Does this work the same way when stateStoring is enabled?",2
"Thanks, i will get back you response after use it, but dear can you give me a approximately date of version 18.1 luanching in winform?",2
"Hi There, Regarding to the sample T555489 CustomPageSetupWindow, select A4 in the custom page setup window, and click OK; then open the Print... window, click Preferences, the Page Sizes is not set to A4.",2
How to resolve the issue?,2
I was missing setting HorizontalResourceHeaderStyle ='' -LCB- StaticResource HorizontalResourceHeaderStyle -RCB-'' in my View.,2
I added that and modified my style slightly after reviewing your link.,2
"However, I am now getting an empty tooltip when the view is grouped by Date.",2
I've attached a modified sample along with a screenshot.,2
I'm having this problem ((link)) is there a work around?,2
Do we need to delete manually that system files (C: \ Windows \ Microsoft.NET \ Framework64 \ v4.0.30319 \ Temporary ASP.NET Files \ root \ 72a304f4 \ 1a2a1dca \ assembly \ dl3) in prod server after deployment?,2
We are attempting to use the SqlMethods.Like method in a LINQ statement with XPO but are receiving the attached exception.,2
Any assistance you can provide is greatly appreciated!,2
My web.config was n't even creating any issues since I made sure that we got the correct dll references there.,2
So do we need to delete all the folders?,2
Attached is the my solution for you to run as well.,2
"Elliot, Thank you for your reply.",2
It was my mistake then.,2
I went to the `` Fields'' tab and tried to modify my DB there.,2
"Hello, I have a dxDataGrid with a OData service datasource inside a partial view that is opened inside a bootstrap modal popup.",2
"All functions of datagrid seems to wor fine, except the search panel.",2
When I type anything on it I recieve an error `` Not Found''.,2
Using the same data grid connected to the same odata service in a view works fine.,2
May be something to do with the partial view or the bootstrap modal?,2
"Hi, I would like to use the range filter like in your demo dashboards - `` sales overview''.",2
"However, I would like to add indication of the amount of sales - either on the side or when the mouse is over the line.",2
Is this possible?,2
"Gents, I am using a dev extreme mvc grid.",2
How can I apply multiple css classes to a column?,2
"When I try to use the cssClass option twice, only the last one appears to be applied.",2
"Hi Nikolai, Is there any simpler solution?",2
There only rule here that causes trouble is `` required'' rule.,2
I figured out what caused the issues.,2
I have got version CLI: 1.6.5,2
"I did make the changes you recommended in the (link) ticket, and it does n't give the error i used to get.",2
Hi John I am busy with other issues trying to set up the dashboards.,2
I will get back to this in a few days.,2
I'm attaching a screen shot for the issue.,2
I have integrated the autocomplete in tree list using cell template.,2
"When i type something in one cell, its changing in all the rows.",2
"Hello, I have a question related to applying current theme color to regular html element (in my case div backgroung color).",2
I am just extremely frustrated with the bugs and the delay in waiting for fixes.,1
Keep up the good work :),3
"Your support has always been excellent, and I appreciate your efforts and your very thorough answers to my questions.",3
You always go the extra mile.,3
"Thank you for your example, this is exactly what i was looking for.",3
"Just to be clear, your support is generally top-notch; it really is.",3
" With all the tools I've used over the years in my work, your support has been the best by far.",3
Your support is very reliable and easy to use.,3
I've spent all morning on this and still no resolution.,1
"It's actually driving me crazy as I can't spot anything wrong, nor is the explained behaviour above making any sense.",1
"I love your stuff and want to buy it but need to learn how to do this, thanks.",3
I've spent all morning on this and still no resolution.,1
Lots of talk Devexpress.,1
"Put down the coffee, chat, porn, and ipone, googlefacebook, and work.",0
Create the damn control.,0
Stop the thanking and praising and total BS!,1
Lastly my point is im a new prospective customer looking to work with your system and you folk are asleep.,1
Yawn at your support sir.,1
"The future will be the company that support it's developers real time, this email/web page/24 hours response is for lazy people, such as your group, sir.",1
your support sucks.,0
crappy support.,1
Not a good first impression.,1
"you guys are slow, 3 days to answer questions.",1
Cmon DevExpress you are all either have gotten lazy or you just do n't know how.,1
you have great controls.,3
Perhaps you folk need better programmers.,1
"Anyone work here, so much for helping fast.",1
"I love your stuff and want to buy it but need to learn how to do this, thanks.",3
"Thank you for your example, this is exactly what i was looking for.",3
You have helped tremendously and I would have never guessed how to fix this issue.,3
A‍ndrey can I ask you to read the tickets please... I have repeatedly stated that I am working with a property grid!!!,1
I cannot send you a sample... it takes time....   This is not difficult stuff...... this is bloody crazy....  I have used devexpress since the late 1990's... I have never had this much trouble getting support to understand a problem!!!!,0
Andrey you will never get to the bottom of this whilst you insist on believing that we are all morons and you assume something completely different.,1
This is great.,3
YOU HAVE A DAMN BUG is what I am saying!,0
" Next time I have a problem with devexpress products I'll ask Telerik, they probably know more about your products than you do.",1
You are the best!,3
"I have spent hours, not fixing this, not diagnosing this, simply trying to get you to understand that a comboboxedit is not a comboboxeditsettings....",1
Thanks for showing me how to search Google and the Support Center;  I obviously don't know how to do that after using your controls for 10+ years.,1
"Instead of giving me links which you have obviously not looked at in any detail related to my issue, why can't you offer some advice other than searching the internet?",1
So please - before you guys post a solution you shouldt try it at least a little bit at your side and not wasting my time with things that are so evident.,1
I really love XAF!,3
I'm a very happy customer and I recommend XAF to all my friends.,3
I can understand the effort of XAF development team and I really admire those developers for the high quality product they produce.,3
I am signaling a problem and you are fixing it without showing stupid movies,1
Aren't you ashamed to admit that this behavior which could only be OK for a student's homework is the official design produced by an award-winning company?,0
"Please let me know if you at least are willing to help me get this question to someone else, or if I need to use other channels to get a response from someone else.",1
"Well, alternatively I could stop using DevExpress and develop all my controls myself, but the goal of using DevExpress instead of building my own controls is to earn time.",1
Everytime I have to put in a ticket I pray I get someone who gives a damn - who understands the frustration of buying a great tool set but whose guide for coding that tool set is lacking and wants to be helpful.,1
Thank you so much for not helping me.,1
"And no need to bother further, I think I am done with DevExpress.",1
Did you even bother to try and recreate similar query on a larger set of data and actually look the execution plan?,1
I think I will go invest my time and effort into new framework instead.,1
I'm not sure to understand why you think we buy your licenses if in the end we have to make our own controls (when your concurrent does implement it).,1
As always even miserable code is'by design',1
As always good to here from you Vladimir :),3
Disclaimer: I reserve the right to be wrong and to be schooled by you on something I missed :),3
"Well, alternatively I could stop using DevExpress and develop all my controls myself, but the goal of using DevExpress instead of building my own controls is to earn time. ",1
I feel that we're going in circles here.,1
"Please guys, you're support is usually very good, this is not up to your standards, i've been experiencing this problem for almost a week now.",1
"By the way, I have four replies from four different people... it looks like you're passing the ball to each other with my problem.",1
I am disappointed in the solution provided since the link only directs to another documentation.,1
I am paying for a subscription and I would expected some kind of solution/sample to demonstrate this.,1
Clear and to the point as always!,3
This is madness and only serves to confuse things.,1
VERY FRUSTRATING!,1
"I acknowledge that I might not be the most intelligent of people, and I am probably at fault for some of this lack of understanding, but this Virtual Data Source thing is a real mess.",1
HOW IS THAT EVEN POSSSIBLE despite the method implementation returning issues.ToArray ()?,1
5) The example seems VERY wasteful.,1
It creates more questions than it answers.,1
The scant documentation really is poor in my opinion.,1
"Sadly, for you and your colleagues it means more questions from users fighting to get answers and a waste of our time trying to figure stuff out and composing help emails.",1
"I am asking for help NOW (well 2 days ago actually) So, can someone put together some commentary on HOW and WHY things are done for Virtual Data Sources and Entity Framework please.",1
I am surprised you have released the new tech without any adequate documentation.,1
"Hello Helen That's awesome, i love dev express and i hoping to attend your seminar where i can learn how to use your products optimally.",3
"If you have no experience in Angular please ask your colleagues or someone expert, do not send me review links send me a solution I put an example of the problem I require you to see it and give me the solution in it do not send me to read more things please",1
Super - all issues resolved - Thank you & have a pleasant weekend!,3
I am trying to understand why it is so DIFFICULT for each of you who responded to ACTUALLY READ what I am asking.,1
"Now if what I am asking cannot be understood or if DEXPRESS cannot do this, then today by 5 PM Mountain Time I will call headquarters and cancel our purchase.",0
Hello Helen Your response time is not fair and poor.,1
I have stated this many times and I have also SHOWED YOU an example at:,1
your not providing me solutions rather your telling me to fix my code.,1
"You have solved my problem gracefully, adequately and professionally and for that I award you 5Stars!",3
VOILA! So many thanks to you! Apologies accepted.,3
Hi.. regretful...your support not efficient when urgent support needed.,1
Thank you very much for your kind assistance and it is working as expected.,3
"For over a decade I bragged to people about your support at DevExpress, but in the last few years you've been treating us like kids and instead of giving specific help you tend to refer us to documentation.",1
"Thanks a lot Nadezhda, I have been breaking my head on this since so many days.",3
"Thanks Stas; I test and it works well, Great Support.    ",3
Ohhh; I think I was blind - it worked.,3
WE ENTER IN A REALLY DANGEROUS SITUATION WITH OUR CUSTOMER ON THAT SUBJECT. AND SOME OF THEM WANT TO KICK US OUT.,0
"You guys ARE making my partner and I Super Heros, and we definitely appreciate it!",3
As far as your updates - I'm always excited when I see updates - like a kid in a candy store!,3
Thank you very much for your responsiveness!,3
"6 years of waiting for a feature, it's not an acceptable time, much more serious to close the ticket as Wontfix.",0
I am very displeased with that.,1
I wish that you could have been more supportive with options instead of being so demeaning about my need.,1
"Yes you offended me, and I've been a customer for more than 10 years and have convinced many people to use this product.",0
I'm disappointed with your attitude.,1
"I wish you all would go back to that ""we really appreciate that you are using our tools"" attitude when you were a much smaller company.",1
"Just to be clear, I do very much appreciate all the support from you folks; it's just not as good as it used to be a dozen years ago. ",1
"With all the tools I've used over the years in my work, your support has been the best by far",3
thanks for wasting so many days of mine thinking you'd help me on this.,1
I no longer brag to people about DevExpress support.,1
Support is not anywhere near what it used to be back in the good old days.:(,1
Thank you very much for your answer; it worked perfectly and it was exactly what I needed.,3
"Every single time I have to upgrade anything in Xamarin, as shown by this DevEx upgrade, its a major headache and ends up being hours if not days of troubleshooting I understand DevEx going this route but I will need some time to see what major disasters await our project trying to convert to an SCL.",1
"I have used DevExpress controls a fair bit in the past, so I can also vouch for their amazing support - so glad to be working with them :)",4
"With respect, its been 6 days since I originally posted this ticket; no post seems to just give the answer, instead, its like I have to play a guessing game to iterate to an answer. ",1
It's you; thanks for the advice - spot on as always.,3
" And one more thing, the best of XAF is not the framework itself, the best is the support team.",3
"As an aside, I have to say Don's ""MVVM Magic with WPF"" YouTube videos were SO GREAT with getting me up to speed, and getting the ViewModel / View wired up!",3
MY great support... We have decided  to update 18.1 by this month....,3
I have never doubted that devexpress usually has no problems but the combination of time for an answer like yours is what has made me nervous,1
It works and you are a superstar and very patient too; well done!,3
Please pass my words onto your manager; you did an excellent job!,3
Support is not anywhere near what it used to be back in the good old days.,1
Thank you Staton for all your help; your example was perfect to get the solution,3
Thank you for a detailed and honest answer,3
"Aside from this, I must say, this is by far the most functional, sophisticated data grid in the world.",4
" I have used so very many high-end data grids, and aside from these couple of glitches, it is by far the nicest, most aesthetic, functional, and powerful data grids in existence today.  ",4
" I can't imagine web development without this powerful tool; just have to say, thank you for all you do!",4
yout hint works perfectly - Devexpress has the best support that I have ever used in any product.,3
"Yes, this works perfectly; I really appreciate your time to explain this, now I understand as well.",3
That's brilliant - thanks.,3
I am ashamed a little for this rookie mistake (old Windows-programmer:-)) it remains true: what your team delivers is really impressive.,3
You're a life saver.,3
Seems kind of pointless if DevExpress just pretends for year out and year in to do something about this when infact nothing is done as it seems.,1
It works!!!! Thank you very much!!!,3
Did you NOT read my post?,1
Thanks I was able to implement the suggested solution and the export is working to a point.,3
Thanks a million; this is exactly what was needed.,3
this is exactly the answer I have overseen twice... Works - thanks again!,3
"However, you choose not to share that and instead give me a reference to some docs, wonderful, and I don't see how the topic you referred me helps at all.",1
Please can you answer for my scenario rather than redirect me to someone else's.,1
"In summary, your documentation is the worst in the galaxy or universe",0
"thank you for the provided approach, it works like a charm :)",3
"oww, thank you for both of you, yes the project fill is added to the list of reference, after delete the file now it works like a churm, thank you so much, you saved 92 hours time  :) ",4
"Wow...Great, You're right!",3
"amazing, thx!",3
"Great news, thank you very much!",3
I am not happy with the response to my solutions.,1
Thanks a ton for your response.,3
"Thank you Sasha, this is perfect!",3
I love this Framework!,3
"I'm heartened to note that support is fantastic and speedy even though I'm trialing the software,  Good stuff.",4
It worked perfectly simply and objectively.,3
"Thanks, with a little tweaking, that seemed to do the trick!",3
"thanks a ton, you really helped us out a lot",3
You are always my best support.,3
The developer at DevExpress that finally solved this deserves a medal.,3
"That did the trick, thanks a bunch for your assistance.",3
"DevExpress support; I tell you, DevExpress support is the greatest in the world - the response time, the responses, the attention to detail, you guys are worth your weight in platinum!",4
"You are damn good expert, you have my admiration; thank you very much, your approach works fine",4
You are perfect and we love you,3
"you are a star, that resolved the problem I have been having for 2 weeks. ",3
I must say that experience with your suppoort is #1 from all suppliers of.NET solutions I have worked with in last 10 years.,4
as always it is a pleasure to work with you.,3
Why DevExpress ignore our simple request all these years??,1
I'm afraid that you guys at DevExpress don't care about your Arab customers' satisfaction.,1
"If your controls fully support RTL functionality, you would gain more and more customers from the Arab world, but you seem to be not interested!!:(",1
On a previous project I took years off my life figuring out how to get the WPF grid to expand to show all rows,1
"That's solved it, amazing; thank you for responding so fast!",3
"That's fantastic, it does exactly what I want it to do.",3
Perfect :) Thank you very much,3
that's it :) loviu devexpress team,3
"Thanks a lot man, your answers always great",3
This is a very good suggestion.,3
"Again, superb DevExpress technical support.",3
"Many thanks for your code snippet, i would have never figured that out myself.",3
"Those are some awesome suggestions, Serge Al!!",4
You provide me a great direction on what I can do!!,3
"Sounds like you really did not read my question, It's no big deal",1
Without people like you I really don't think we would ever advance.,4
Thank you so much for being my mentor.,3
ok you got me totally confused.,1
"I tried the tutorial, tried to may a example, Now you blow my mind with you example.",0
"I already solved my problem, only that I am concerned about the lack of deepening in the knowledge of their controls for this reason this brings the non-resolution of problems to users, and it is not the first time this happens and there are several cases that do not give solution, which leads to poor support.",1
"I'm getting a bit fed up of all of these bugs in the Report Designer and feel like I'm your personal tester, doesn't feel like anybody else is doing any.",0
"Pretty disappointed if this is the intended behaviour, I don't know where to start.",1
"I love it!  Yes, thank you so much!",3
" Damn, how did I missed that... thanks! ",3
"This would have been very difficult to figure out, so as always I appreciate the efforts of the support team!",3
Excelent! Thank you very much!!!,3
"That's brilliant, thanks Nadezhda",4
"OK, so that's not really the answer I was looking for; I have spent $2300 on your product and expect to get some support in getting them to work.",1
Thank you very much for your great support!,3
that was exactly what I was looking for.,3
You helped me a lot.,3
"Perfect, thank you so much for the fast solution.",3
Thanks for the brilliant support we received from DevExpress for resolving this issue.,4
As usual you rock!!,4
"You've been a huge help, as have everyone on your team.",4
"You guys provide excellent support, and I really appreciate the help!",4
"You've been a huge help, as have everyone on your team.",4
You did a perfect job I appreciate so much what you did.,4
You have been very professional every time.,3
Thank you very much for your excellent support and help!,4
People like you is what makes DevExpress a great company!,4
"Again, this is extremely helpful and it worked perfectly!",4
"I am sorry that I can only express my gratitude to your support with just thank you; if you're ever in Toronto, I hope you will let me by you a beer!",4
Thank you so much - now I see what you mean:-),3
"You know, sometimes I don't get the exact answers I'm hoping for concerning feature set, etc... But I have never seen any other vendor come through like you people do, when it comes to providing thoughtful and innovative, professional and courteous help to solving sometimes really tough problems, in effective, efficient ways, in record time.",4
THANK YOU!,4
THANK YOU SO MUCH!,4
"As always your help was invaluable, informative, and arrives in a timely fashion.",3
I would like express my gratitude for the excellent support I have received from you all at Devexpress over the years.,4
"As great as the controls are, it's this high level of support that keeps me renewing my subscription year after year.",4
"First off, you guys rock.",4
"Considering the issues WPF has (design and perf), you've made an impressive components suite by any measure.",3
"At any rate, you guys are doing great.",3
I appreciate your bug fixes and performance improvements MUCH more than feature additions but I'm always impressed by what you are coming up with.,4
Thank You for rapid answer and nice workaround.,3
"As a whole I must say, that I have used Your product for years and I have been -and I am- very very satisfied.",4
Great support as always from DevExpress!!!,4
That's perfect :),3
"Perfect, thank you!  :)",3
Thanks for the quick feedback!,3
It works 100.0%.,3
"Thank you, thank you, thank you, thank you.. I cannot thank you enough.",4
"I would have never figured this out without your help, so thanks.",3
Your answer is so wonderful.,3
I'm just evaluating the product and then I found it is just a CRAP.,1
Searching through all your KB articles but it seems this issue was still there 7 years ago.,1
CRAP.,0
"Worked like a charm, thanks!",4
"It costs me nearly 8 hours of trying and evaluating and you too have spend time with your sample and your explanations - only because someone forgot a simple ""throw new ArgumentException()"".",1
"Worked like a charm, thanks!",4
Thank you for all your help with this case.,3
"It is important to know that you always do their best to solve everything, thank you again.",3
"Thank you, it worked out perfect.",3
Disclaimer: fix is such a strong word and technically inappropriate when dealing with a miserable design issue.,1
You guys designed it bad its not broken just bad design and implementation.,1
The whole custom filtering is a workaround to the core problem that you as a company refuse to address OVER A FOUR YEAR PERIOD.,1
I understand that we now have a miserable design that people have been using for a long time and changing the DEFAULT behavior could cause problems for all of your clients that have painstakingly worked around this issue with various means because you refuse to address it.,1
I have been complaining about this for 4 years.,1
Sick of writing code to address common usage issues with your controls.,0
It works like a dream.,3
Always surprising us more by improving the web dashboard.,3
This is a great component that is growing more.,3
I am also not happy that you give me components with errors,1
Great News!!!,3
Thank you for all your help to find a solution in the web dashboard.,3
"I do not know why I am thinking this, but it seems that I am getting less support with priority chat than I did when I had the other subscription and standard support.",1
I've been with you for 8 years and I've often seen intentional spoiling of components,1
Every day I am amazed by this product and the quality of this DevExpress team.,4
Make every penny worth signing and renewing.,4
My clients are disgusted with the increasing number of internal errors in the devexpress controls Please fix the ASAP problem and give me an installer with properly working components,0
Worked perfectly.,3
very cool features.,3
"looks nice, good support.",3
"Overall, Support has been amazing!",4
Difficult to find examples to do implementation.,1
One has to depend on the DevExpress Technical Team most of the time and it gets frustrating.,1
"Congratulations on the job, I really like your library.",3
Your customer support is simply the best.,3
All support people have been very helpful and respond back quickly.,3
This is extremely disappointing.,0
DevExpress VCL product is fantastic.,3
Good stuff and support!,3
Your support team is exceptional.,3
We are extremely happy with the Dev Express development tool.,3
DevExpress VCL is undoubtedly class of its own.,3
It seems like documentation is lagging behind your great improvements a bit more than usual.,1
We are so disappointed for the bad news.,0
You shouldn't give us hope first and then kill it.,1
DevExpress Support is second to none.,3
DevExpress support is fantastic :),4
THANK YOU for your quick response to my question.,3
You did a good support job.,3
That worked perfect.,3
what is the NOT CLEAR point man????,1
I think what I am saying is very clear!!,1
this is a test post. do not delete. qqqqqq qqqqqqqqqqqqqqqqqqqqqqqqq qqqqqqqqqqqqqqqqqq qqqqqqqqqqqqqqqqqqqq qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq qqqqqqqqqqqqqqqqqqqqq,NULL
I will not bother you again with my messages.,1
You're forcing me to go to your superiors.,1
A smart and short solution.,3
"Thanks for your help, it works perfectly!",3
Thanks for the help and the excellent support you guys provide.,3
Hi wizards.,3
thanks a lot for your fantastic support so far!!,4
you have eyes like a hawk - thank you very much.,4
" I can't thank you enough for the help so far as this is all still quite new to me, it is very VERY much appreciated!",3
"Your service is something special - fast, clear and happily.",3
Thank you very much for your help.,3
thanks Romeo you are perfect,3
This is just another example why I consider DevExpress the best company I ever dealt with.,4
tyvm!,3
Your prompt response has helped me meet a tight deadline.,3
You guys are the best support I've ever seen!,4
thank you thank you!,3
Thanks for the great job!,3
Unfortunately there is no attempt from your end to help me out with a simple solution in my last email,1
Knowledge of the products is second to none.,3
Please stop to ignore your bugs ...its so annoying...,1
"Thanks, that solves my problem, awesome!",3
Thank you for your response and example they were both extremely helpful!,3
"Oh, I feel like idiot, the documentation has all the information.",3
Thank you all for the continuous support. ,3
"Thank you Nataly,  the solution was clean, straightforward and informative.",3
Nice work!,3
Works like a champ!,4
I've been very please with the quality of the support DevExpress provides. ,3
"With the solution you suggest, it's really simple and logical.",3
thank you thank you thank you.. obviously I'm new at this - still getting used to the constructs :),3
Awesome!,3
Thats brilliant!,4
Thanks a ton!,4
Thank you so much for guiding me during my journey by exploring the ASPxRichEdit control.,3
It is an incredible experience.,3
You were so helpful.,3
This was the perfect solution to what I needed. ,3
Great Customer Service.,3
I appreciate your detailed explanation. ,3
DevExpress support rocks!,4
I´m very happy with DevExpress products and support.,3
You are GREAT !!!!,3
I knew you were the right guy.,3
You have been very kind and patient.,3
I am really impressed that you were able to take my work and use it.,3
Though I'm having a real hard time with the new SchedulerControl for quite a lot of reasons... your customer support is awesome.,3
I really miss and appreciate the awesome support you have here (it's way above other 3rd party commercial vendors).,4
I'll suggest using DevExpress to my manager mainly because of superior products and support you guys have.,4
Keep up the great work!,3
"THANK YOU VERY MUCH LENA, works perfectly, thank you soo much, you're my queen hahaha",4
I'm impressed by the excellent help I get from you.,3
"Thanks a lot for the response, it was very helpful and solved my problem!",3
Perfect!,3
The whole custom filtering is a workaround to the core problem that you as a company refuse to address OVER A FOUR YEAR PERIOD.,1
This really isn't a solution it is a workaround.,1
Sick of writing code to address common usage issues with your controls.,1
That looks awesome.,1
So bad news.,1
We are so disappointed for the bad news,1
You shouldn't give us hope first and then kill it.,1
I think what I am saying is very clear!!,1
what is the NOT CLEAR point man????,1
Perhaps you should read my posts again ?!?!?,1
" If not, please have someone else deal with my suggestion! ",1
Hold thy horse captain obvious your evil deeds of confusion are week against the righteous.,1
"As I have stated before, we are not going to provide the production application for your analysis and we are not going to spend more time trying to replicate the exact behavior because we have already spent enough time on this, but I assure you that our production application works differently running DX 17.1.4. ",1
It is up to you what you want to do with this information.,1
Your article was not helpful.,1
" Thank you, this is a very good example",3
Your controls are great but i am not happy with the customer support.,1
Your diagnosis and solution were Spot On!,3
"Finally and most important, please forgive my snippy response in my previous message, I have no excuse for that sort of rubbish behavior on my end.",3
"Thank you so much once again, especially for your patience with me.
",3
"Has anybody checked the hotfix, that issue turns annoing...",1
That's exactly what I needed.,3
"Really thank you and have a nice day.
",3
And I really feel offended of this Statement!,0
Thanks for your help on this matter and as always you guys are great.,3
Ton of thanks!,3
"I've been working on the same problems for about a week, i'm sure the mistake on code was on my side, but  i would very much appreciate if the support was able to give more direct solutions to issues, one week without find solution to do something i can do with a normal html/js code is really frustrating.",1
Nine years this feature was requested and after 9 years you say not in the nearest future.,1
Telerik has support for it!,1
In the beginning DevExpress had great support multiple answers on one day (now it takes days) they give a solution now I only get the same kind of help what other component sellers also give fe. (componentOne) great tools but the same support as I get at this moment,1
Very disapointing again.,0
You can close this topic cause you are not willing to help.,1
For me this is the last question I asked here,1
For myself I consider not to pay for a next update,1
Good work!!!,3
Our cusotmers are angry.,1
this is a showstopper for me,1
We will not wait five years as others.,1
We will draw the obvious conclusion.,1
"ps: 6 years of waiting for a feature, it's not an acceptable time.",1
After 2 weeks of works i'm definitively downhearted by using ASPxGrid.,0
It is becoming extremely frustrating dealing with the DevExpress team to the extent that it is now INFURIATING.,0
"We commit to all your releases, we pay each and every year, we even fault find for you and the efforts made by your tech support team are woeful. ",0
There is very little to ZERO effort made to reproduce the errors and probs we submit.,0
" You constantly request detailed examples which sometimes isn’t possible, so you IGNORE.",0
"Very, Very infuriated and unhappy customer….",0
PLEASE TAKE THIS SERIOUS AND FIX THE DAMN NEW SCHEDULE COMPONENT WHICH DOESN’T WORK WITH RE-OCUURING APPOINTMENTS ****URGENTLY****,0
Also have you stopped to think how much time we have wasted with these kind of problems?,1
After wasting WEEKS on discovering the prob you are not interested…,0
stupid answer,1
Thanks for nothing,1
" Why did I pay the money, b/c you do have an awesome product and I could never make something even close to your product and that is something to be very proud of.",3
Thank you so much for going an extra mile.,3
" Appreciated.
",3
"I am incredibly beside myself with rage, attempting to integrate your controls into a simple project.",0
" It is shameful that the advice is to start from scratch as use templates... you know that the dependencies are too intricate, and the documentation does not do it justice.",0
I apologize for my frustration.,3
"Thank you for the swift answer, which covers all my needs.",3
I'm afraid I'm still stuck despite your links.,1
"your solution is wonderful, thx.",3
"your solution is simple, beautiful - you are a huge help. THX",4
"I appreciate your role is to 'teach me how to fish' and not 'give me a fish', but I am still not seeing it.",1
Beginning to regret renewing my subscription now.,0
"I'm sorry to have to say this,  but your comment has really been bugging me.",1
"In this arrangement, I thought I was the customer, and, as such, it was MY productivity that should be the priority?",1
"Any chance to get an answer, problem is you really put us in a bad situation with your fatal bug with T735186.",0
I find your answer totally disturbing and not acceptable.,1
What you are doing now in terms of hotfixes are really bad design.,1
We still find it totally unacceptable that a commercial solution is not jet release to fix this issue.,1
It is a major blocking point and you leave your clients/customers floating around .,1
Works a treat.,3
What the hell you mean confirmation of my license.,0
ROFL you sure have a winning way of making customer not want to buy DevExpress,1
your example is totally different to my situation i think dont understand me and i think that i´ve expressed clearly  the problem.,1
You guys rock!,4
"Your help is really appreciated, you have saved me many, many hours or work.",4
This is just what I was trying to achieve.,3
